,title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,original_title,start_year,runtime_minutes,genres
1638,Fifty Shades of Black,ORF,11700000.0,10500000.0,2016,tt4667094,Fifty Shades of Black,Fifty Shades of Black,2016.0,92.0,Comedy
1639,El Clan,FIP,201000.0,20200000.0,2016,,,,,,
1640,The Edge of Seventeen,STX,14400000.0,4400000.0,2016,tt1878870,The Edge of Seventeen,The Edge of Seventeen,2016.0,104.0,"Comedy,Drama"
1641,Regression,W/Dim.,55000.0,17600000.0,2016,,,,,,
1642,Neerja,FIP,1600000.0,16000000.0,2016,tt5286444,Neerja,Neerja,2016.0,122.0,"Biography,Drama,Thriller"
1643,Hardcore Henry,STX,9300000.0,7600000.0,2016,,,,,,
1644,Pride and Prejudice and Zombies,SGem,10900000.0,5500000.0,2016,tt1374989,Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,2016.0,108.0,"Action,Comedy,Horror"
1645,Kapoor & Sons - Since 1921,FIP,2600000.0,12800000.0,2016,,,,,,
1646,The Take (2016),HTR,50300.0,14800000.0,2016,,,,,,
1647,Sword Master,WGUSA,75500.0,14600000.0,2016,tt5269396,Sword Master,San shao ye de jian,2016.0,108.0,"Action,Drama"
1648,The Other Side of the Door,Fox,3000000.0,11300000.0,2016,tt3702652,The Other Side of the Door,The Other Side of the Door,2016.0,96.0,Horror
1649,Sing Street,Wein.,3200000.0,10400000.0,2016,tt3544112,Sing Street,Sing Street,2016.0,106.0,"Comedy,Drama,Music"
1650,Shut In,EC,6900000.0,6200000.0,2016,tt2582500,Shut In,Shut In,2016.0,91.0,"Drama,Mystery,Thriller"
1651,Loving,Focus,7800000.0,5200000.0,2016,tt4669986,Loving,Loving,2016.0,123.0,"Biography,Drama,Romance"
1652,Loving,Focus,7800000.0,5200000.0,2016,tt5479616,Loving,Amar,2017.0,105.0,"Drama,Romance"
1653,The Beatles: Eight Days a Week - The Touring Years,Abr.,2900000.0,9400000.0,2016,tt2531318,The Beatles: Eight Days a Week - The Touring Years,The Beatles: Eight Days a Week - The Touring Years,2016.0,106.0,"Documentary,Music"
1654,The Man Who Knew Infinity,IFC,3900000.0,8400000.0,2016,,,,,,
1655,Our Kind of Traitor,RAtt.,3200000.0,7600000.0,2016,tt1995390,Our Kind of Traitor,Our Kind of Traitor,2016.0,108.0,"Crime,Drama,Thriller"
1656,The Perfect Match,LGF,9700000.0,745000.0,2016,tt4871980,The Perfect Match,The Perfect Match,2016.0,96.0,"Comedy,Romance"
