genres,averagerating,numvotes
Short,8.8,8.0
Documentary,7.332090350926604,266.96023207345235
Game-Show,7.3,1734.5
News,7.2713298791019,212.98618307426597
Biography,7.1622735626148595,5673.259648201628
Music,7.091971544715447,2771.0208333333335
History,7.04095575221239,2776.4067256637168
Sport,6.961492790500424,3185.601357082273
War,6.584290738569753,3147.391559202814
Reality-TV,6.5,27.0
Musical,6.498335644937587,1925.0554785020804
Drama,6.401559048980123,3883.5747693906715
Family,6.394724501758499,2531.2749120750295
Animation,6.248307515777395,8808.549627079748
Adventure,6.196201205134923,22067.74665968038
Romance,6.146607983001973,4084.6673243284263
Crime,6.115441335935806,8594.959011060508
Comedy,6.0026894158473105,4297.617408906883
Mystery,5.920401447844685,8113.618295491938
Fantasy,5.919473189087488,12387.443085606774
Western,5.868214285714285,8758.485714285714
Action,5.810360618202633,14476.485689753863
Thriller,5.639114031885116,5860.449434100036
Sci-Fi,5.489755213055304,19474.292384406166
Horror,5.003440187646599,3112.417904612979
Adult,3.766666666666667,54.666666666666664
